gene_symbol,chem_id,chem_name,action_norm,action_family
ABCB1,MESH:D008727,Methotrexate,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D008767,Methylmercury Compounds,affects^response to substance,other
ABCB1,MESH:D008775,Methylprednisolone,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D009288,Naproxen,affects^expression,other
ABCB1,MESH:D009661,Nortriptyline,affects^response to substance,other
ABCB1,MESH:D009943,Organophosphorus Compounds,affects^response to substance,other
ABCB1,MESH:D010575,Pesticides,affects^response to substance,other
ABCB1,MESH:D010634,Phenobarbital,affects^expression,other
ABCB1,MESH:D010672,Phenytoin,affects^response to substance,other
ABCB1,MESH:D014635,Valproic Acid,affects^expression,other
ABCB1,MESH:D014635,Valproic Acid,affects^response to substance,other
ABCB1,MESH:D014747,Vinblastine,affects^activity|affects^response to substance,modifies
ABCB1,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCB1,MESH:D014750,Vincristine,affects^response to substance,other
ABCB1,MESH:D014859,Warfarin,affects^response to substance,other
ABCB1,MESH:D015251,Epirubicin,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D015767,Mefloquine,affects^binding|affects^secretion|affects^uptake,modifies
ABCB1,MESH:D016559,Tacrolimus,affects^response to substance,other
ABCB1,MESH:D016572,Cyclosporine,affects^expression,other
ABCB1,MESH:D016572,Cyclosporine,affects^response to substance,other
ABCB1,MESH:D017239,Paclitaxel,affects^response to substance,other
ABCB1,MESH:D017239,Paclitaxel,affects^response to substance|increases^export,activates
ABCB1,MESH:D017964,Itraconazole,affects^response to substance|increases^reaction,activates
ABCB1,MESH:D018967,Risperidone,affects^response to substance,other
ABCB1,MESH:D019821,Simvastatin,affects^reaction|affects^response to substance,other
ABCB1,MESH:D019821,Simvastatin,affects^response to substance,other
ABCB1,MESH:D019888,Nelfinavir,affects^response to substance,other
ABCB1,MESH:D064747,Lansoprazole,affects^response to substance,other
ABCB10,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCB10,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCB10,MESH:C543008,bisphenol S,affects^expression,other
ABCB10,MESH:D002945,Cisplatin,affects^response to substance,other
ABCB11,MESH:C029790,"2,2',3',4,4',5-hexachlorobiphenyl",affects^expression,other
ABCB11,MESH:C076994,perfluorooctane sulfonic acid,affects^expression,other
ABCB11,MESH:D002746,Chlorpromazine,affects^cotreatment|affects^expression,other
ABCB11,MESH:D002793,Cholic Acids,affects^cotreatment|affects^expression,other
ABCB11,MESH:D004977,Ethambutol,affects^cotreatment|affects^expression,other
ABCB11,MESH:D004997,Ethinyl Estradiol,affects^cotreatment|affects^expression,other
ABCB11,MESH:D007538,Isoniazid,affects^cotreatment|affects^expression,other
ABCB11,MESH:D008777,Methyltestosterone,affects^cotreatment|affects^expression,other
ABCB11,MESH:D011718,Pyrazinamide,affects^cotreatment|affects^expression,other
ABCB11,MESH:D012293,Rifampin,affects^cotreatment|affects^expression,other
ABCB11,MESH:D015058,1-Naphthylisothiocyanate,affects^cotreatment|affects^expression,other
ABCB4,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCB4,MESH:C015001,arsenite,affects^expression,other
ABCB4,MESH:D002746,Chlorpromazine,affects^cotreatment|affects^expression,other
ABCB4,MESH:D002793,Cholic Acids,affects^cotreatment|affects^expression,other
ABCB4,MESH:D004997,Ethinyl Estradiol,affects^cotreatment|affects^expression,other
ABCB4,MESH:D008777,Methyltestosterone,affects^cotreatment|affects^expression,other
ABCB4,MESH:D014635,Valproic Acid,affects^expression,other
ABCB4,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCB4,MESH:D015058,1-Naphthylisothiocyanate,affects^cotreatment|affects^expression,other
ABCB4,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCB5,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCB5,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCB5,MESH:D015125,Oxyquinoline,affects^response to substance,other
ABCB6,MESH:C004656,chloroacetaldehyde,affects^expression,other
ABCB6,MESH:D002945,Cisplatin,affects^response to substance,other
ABCB6,MESH:D010634,Phenobarbital,affects^expression,other
ABCB6,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABCB6,MESH:D014635,Valproic Acid,affects^expression,other
ABCB6,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCB7,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCB7,MESH:D002945,Cisplatin,affects^response to substance,other
ABCB7,MESH:D014635,Valproic Acid,affects^expression,other
ABCB7,MESH:D024483,Vitamin K 3,affects^expression,other
ABCB8,MESH:C543008,bisphenol S,affects^expression,other
ABCB9,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCB9,MESH:D002945,Cisplatin,affects^expression,other
ABCB9,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCB9,MESH:D020849,Raloxifene Hydrochloride,affects^expression,other
ABCC1,MESH:C008437,"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",affects^expression|affects^response to substance,other
ABCC1,MESH:C009277,sodium arsenate,affects^expression|affects^response to substance,other
